Email,"Customer Name","Company Name",Address,Postcode,City,"Invoice Number","Customer Number","VAT ID","Invoice Date","Due Date","Item Description",Quantity,Price,"Total Amount",IBAN,SWIFT,"Bank Name","Payment Terms"
info@protecgmbh.de,"Mr Umut Algu","Protec GMBH","Hüttenfelder Str. 19",64646,Heppenheim,28097,27086,DE814560343,23-04-2025,07-05-2025,protecgmbh.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
zoeller-fzb@gmx.de,"Mr Bernd Zoeller","Zoeller Karosserie- + Fahrzeugbau GMBH","Holdinghauser Str. 26",57078,Siegen,28098,27087,DE126572553,23-04-2025,07-05-2025,zoeller-fahrzeugbau-siegen.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@flex-air.com,"Ms Vera Gros","Flex-air GMBH","Atlas 9",79585,Steinen,28099,27088,DE277590961,23-04-2025,07-05-2025,flex-air.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
office@sprylab.com,"Mr Stephan Heck","Sprylab Technologies GMBH","Keithstr. 2",10787,Berlin,28100,27089,DE814907338,23-04-2025,07-05-2025,sprylab.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
fs@saffer-bau.com,"Mr Norbert Saffer","Zimmerei Saffer GMBH","Pitzaustraße 22",82467,Garmisch-partenkirchen,28101,27090,DE239820095,23-04-2025,07-05-2025,saffer-bau.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@optik-hermanuz.de,"Mr Stefan Hermanuz","Optik Hermanuz GMBH","Angerhausenstraße 5",47798,Krefeld,28102,27091,DE190112374,23-04-2025,07-05-2025,optik-hermanuz.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
hello@habeshapoetics.com,"Mr Yonas Babacan","Lye.tv GMBH","Löwengasse 27",60385,Frankfurt,28103,27092,DE286019583,23-04-2025,07-05-2025,lye.tv,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@asatex.de,"Mr Alexander Kirsch","Asatex Aktiengesellschaft","- August-borsig-str. 2",50126,Bergheim,28104,27093,DE121851861,23-04-2025,07-05-2025,asatex.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@insurtech-munich.com,"Mr Falk Loeffler","Insurtech Hub Munich E.v.  C/o Werk1.bayern GMBH","Fokusthemen 2025",81671,Muenchen,28105,27094,DE215536766,23-04-2025,07-05-2025,insurtech-munich.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@autohauszahrte.de,"Mr Michael Zahrte","Autohaus Zahrte GMBH","Wagnerstraße 20",29633,Munster,28106,27095,DE116375366,23-04-2025,07-05-2025,autohauszahrte.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
nuernberg@synlab.com,"No data fulfill your filter criteria","Synlab Medizinisches Versorgungszentrum Nuernberg GMBH",02,90429,Nuernberg,28107,27096,DE266705790,23-04-2025,07-05-2025,synlab.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@poerschke-stahl.de,"Mr Marco Podlesnik","Press- Und Schneidebetrieb Poerschke GMBH & Co. Kommanditgesellschaft","Ihr Partner Im Stahlhandel Seit 50",46238,Bottrop,28108,27097,DE124240467,23-04-2025,07-05-2025,poerschke-stahl.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@bieberstein.biz,"Mr Norbert Meyer","Bieberstein Verwaltungsgesellschaft Mbh","Ernst-moritz-arndt-straße 109",41061,Moenchengladbach,28109,27098,DE120819135,23-04-2025,07-05-2025,bieberstein.biz,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
klinkerwerk@schemainda.gmbh,"Mr Matthias Puppe","Schemainda GMBH","- 98",38459,Bahrdorf,28110,27099,DE214934668,23-04-2025,07-05-2025,schemainda.gmbh,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
zentrale@elma-anlagen.de,"Ms Gabriele Meierhoefer","Elma Anlagenbau GMBH","Am Stadtwald 11",92676,Eschenbach,28111,27100,DE134049234,23-04-2025,07-05-2025,elma-anlagen.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
service@op-online.de,"No data fulfill your filter criteria","Metac Medien Verlags GMBH","Hainburger Erhält Postkarte Von Vor 58",63071,Offenbach,28112,27101,DE192042714,23-04-2025,07-05-2025,op-online.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@disserto-service.de,"Mr Andreas Bicknese","Disserto Service GMBH","Naphaussen 7",41366,Schwalmtal,28113,27102,DE215600612,23-04-2025,07-05-2025,disserto-service.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@schwering-heizung-sanitaer.de,"Dipl.-Ing. Wolfgang Schwering","Schwering GMBH","Erler Straße 7",46286,Dorsten,28114,27103,DE127125978,23-04-2025,07-05-2025,schwering-heizung-sanitaer.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@is-leuchten.de,"Mr Frederic Voelzke","Is Leuchten GMBH","News 2018",58675,Hemer,28115,27104,DE153326721,23-04-2025,07-05-2025,is-leuchten.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@guh-leder.de,"Mr Michael Esseling","G + H Leder GMBH","Robert Bosch-straße 4",48691,Vreden,28116,27105,DE123765409,23-04-2025,07-05-2025,guh-leder.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@inomat.de,"Dr. Axel Kalleder","Inomat GMBH","Bildstocker Straße 16",66538,Neunkirchen,28117,27106,DE214022174,23-04-2025,07-05-2025,inomat.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@malerbetrieb-schwerin.de,"Mr Christian Doege","Malereibetrieb Christian Doege GMBH","Eckdrift 16",19061,Schwerin,28118,27107,DE276178574,23-04-2025,07-05-2025,malerbetrieb-schwerin.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
hotel-bastenhaus@t-online.de,"Mr Berthold Stollhof","Stollhof Hotel-restaurant GMBH","Bastenhaus 1",67814,Dannenfels,28119,27108,DE148655163,23-04-2025,07-05-2025,bastenhaus.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@aki-caviar.de,"Mr Markus Gustav Hubert Ruesch","Altonaer Kaviar Import Haus Gustav Ruesch GMBH & Co. KG","Co. Kg 2021",22767,Hamburg,28120,27109,DE812145150,23-04-2025,07-05-2025,aki-caviar.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
bielefeld@badideen.de,"Mr Stefan Wilker","Efg Cordes & Graefe Brand KG","Von Innovativen It-stellen über Kaufleute Im Groß- Und Außenhandel Bis Zum Berufskraftfahrer. Lernen Sie Uns Kennen Und Bewerben Sie Sich Bei Der Gc-gruppe. In Unseren über 100",33609,Bielefeld,28121,27110,DE273072453,23-04-2025,07-05-2025,gc-gruppe.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@stroetmann.de,"Stroetmann Food Verwaltungs-GmbH","L. Stroetmann Grossverbraucher GMBH & Co. KG","Monatswerbung Kw 17",59368,Werne,28122,27111,DE162264131,23-04-2025,07-05-2025,stroetmann-gv.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@ukt-xml.de,"Mr Uwe Krause","Ukt Buero- Und Telekommunikation, Dipl.ing. Uwe Krause E.k.","Industrie 4",71672,Marbach,28123,27112,DE154713250,23-04-2025,07-05-2025,ukt-xml.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@schroeter-baeder.de,"Mr Heiko Schroeter","H. Schroeter GMBH Sanitaertechnik, Heizungstechnik, Waermepumpen, Klimatechnik","Kurze Str. 2a",19300,Grabow,28124,27113,DE491523169,23-04-2025,07-05-2025,schroeter-baeder.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
hengst-transporte@t-online.de,"Mr Dietmar Hengst","Hengst Transporte & Baustoffe GMBH","Impressum Der Hengst Transporte Und Baustoffe Gmbh In 4430",44309,Dortmund,28125,27114,DE124804900,23-04-2025,07-05-2025,hengst-transporte.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@mo-rn.de,"Mr Siegfried Flade","Management Office Rhein-neckar GMBH","As 400",68239,Mannheim,28126,27115,DE259967807,23-04-2025,07-05-2025,mo-rn.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
a.ewald@keen-hair.com,"Ms Rita Ewald","Haco GMBH & Co. KG",". November 2024",10719,Berlin,28127,27116,DE261649681,23-04-2025,07-05-2025,keen-hair.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info07@blackdog.de,"Mr Tobias Heidemann","Black Dog Comics Ohg","Di-fr 11",10439,Berlin,28128,27117,DE814787056,23-04-2025,07-05-2025,blackdog.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@idm-teltow.de,"Dr. Thomas Koepnick","Institut Fuer Duennschichttechnologie Und Mikrosensorik E.v.","Kantstraße 55",14513,Teltow,28129,27118,DE172618159,23-04-2025,07-05-2025,idm-teltow.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@dr-miller-gmbh.de,"Mr Oliver Stephan Miller","Dr. Miller GMBH","Eine über 90",20357,Hamburg,28130,27119,DE172182859,23-04-2025,07-05-2025,dr-miller-gmbh.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
kontakt@fahrzeughaus-klugkist.de,"Mr Stefan Klugkist","Heinrich Klugkist GMBH","Neue Straße 8",26826,Weener,28131,27120,DE177038863,23-04-2025,07-05-2025,fahrzeughaus-klugkist.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@kb-trockenbau-gmbh.de,"Mr Klaus Blaschka","Klaus Blaschka Trockenbau GMBH","Radegundisstraße 13",86391,Stadtbergen,28132,27121,DE310263096,23-04-2025,07-05-2025,kb-trockenbau-gmbh.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@mack-gerstner.de,"Ms Bianca Koehler","Mack & Gerstner Verwaltungsgesellschaft Mbh","Zertifikat Iso 2200",67105,Schifferstadt,28133,27122,DE257708075,23-04-2025,07-05-2025,mack-gerstner.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
service@energiehoch3.de,"Mr Dominic Colloff","Energiehoch3 GMBH","Mo.-fr. 08",20354,Hamburg,28134,27123,DE261159962,23-04-2025,07-05-2025,energiehoch3.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
ducati-hamburg@mobile.de,"Mr Sascha Marmull","Motorradhandel Marmull Und Rudolph GMBH.","Papenreye 8",22453,Hamburg,28135,27124,DE813593121,23-04-2025,07-05-2025,ducatihamburg.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@krolpfeifer.de,"Mr Werner Krolpfeifer","Werner Krolpfeifer Dachdeckermeister GMBH","Fürstenberger Straße 12",33142,Bueren,28136,27125,DE126332428,23-04-2025,07-05-2025,krolpfeifer.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@hamburg-holstein-immobilien.de,"Ms Renate Radel","Hamburg-holstein-immobilien GMBH","In 2384",23843,"Bad Oldesloe",28137,27126,DE287248047,23-04-2025,07-05-2025,hamburg-holstein-immobilien.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@habermehl-follmann.de,"Dipl.-Ing. Volker Goerg","Habermehl + Follmann Ingenieurgesellschaft Mbh","Frankfurter Straße 79",63110,Rodgau,28138,27127,DE204690174,23-04-2025,07-05-2025,habermehl-follmann.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@drbalke.de,"Wiedenbauer Verwaltungs GmbH","Wiedenbauer Bonbon-spezialitaeten Produktions- Und Vertriebs GMBH & Co. KG","Die Messen Für Den Biofachhandel 2017",32758,Detmold,28139,27128,DE262191845,23-04-2025,07-05-2025,liebharts-gesundkost.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
geschaeftsstelle@wrsv.de,"Mr Klaus Hoeger","Wuerttembergischer Radsportverband E. V.","Mercedesstrasse 83",70372,Stuttgart,28140,27129,DE147806392,23-04-2025,07-05-2025,wrsv.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
webmaster@kino-heppenheim.de,"Ms Anita Barbara Fritz","Saalbau Betriebe GMBH & Co. KG","Wilhelmstrasse 38",64646,Heppenheim,28141,27130,DE161696571,23-04-2025,07-05-2025,kino-heppenheim.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
team@kjplus.de,"Ms Karina Jost","Kj Plus GMBH","Augustusplatz 9",4277,Leipzig,28142,27131,DE285577482,23-04-2025,07-05-2025,kjplus.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@hairconnect.com,"Mr Peter Beier","Hairconnect GMBH  By Peter Beier","Dachauer Str. 282",80992,Muenchen,28143,27132,DE199332192,23-04-2025,07-05-2025,hairconnect.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@zeitreisen.com,"Mr Kurt Otterbacher","Zeitreisen GMBH","Ederstr. 10",60486,Frankfurt,28144,27133,DE177441218,23-04-2025,07-05-2025,zeitreisen.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@consulting-one.de,"Mr Juergen Fisch","Consulting One GMBH","Nagelstr. 11",54457,Wincheringen,28145,27134,DE249968560,23-04-2025,07-05-2025,consulting-one.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@bora.com,"Mr Wilhelm Christian Bruckbauer","Bora GMBH","- 16",83064,Raubling,28146,27135,DE254379389,23-04-2025,07-05-2025,bora.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@metallbau-schoelch.de,"Dr. Antonia Hollerbach","Schoelch GMBH","Seit über 45",74736,Hardheim,28147,27136,DE812045391,23-04-2025,07-05-2025,metallbau-schoelch.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@franksuelzengmbh.de,"Ms Gabriele Suelzen","Frank Suelzen GMBH",Proffenweg 11,53639,Koenigswinter,28148,27137,DE165463569,23-04-2025,07-05-2025,franksuelzengmbh.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@sethe-technik.de,"Mr Hartmut Sethe","Sethe Technik Fuer Die Gastronomie GMBH",2581,25813,Husum,28149,27138,DE255298920,23-04-2025,07-05-2025,sethetechnik.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@brueckner-system.com,"Mr Philipp Emmelheinz","Brueckner System GMBH","Osterholder Allee 2",25421,Pinneberg,28150,27139,DE134794351,23-04-2025,07-05-2025,brueckner-system.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@grandconcept.de,"Mr Felix Heller","Grand Concept GMBH","Seit über 25",10117,Berlin,28151,27140,DE161650471,23-04-2025,07-05-2025,grandconcert.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@bg-stahlhandel.de,"Birsen Goek","B & G Stahlhandel GMBH","Römerstrasse 59",41238,Moenchengladbach,28152,27141,DE278208006,23-04-2025,07-05-2025,bg-stahlhandel.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@walcher.com,"Walcher Verwaltung GmbH","Walcher Grundstuecks GMBH & Co. KG","Zum Lingeshof 3",36124,Eichenzell,28153,27142,DE814202506,23-04-2025,07-05-2025,walcher.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@adion.ch,"Ms Elfriede Bree","Adion GMBH","Lanzstraße 30",65193,Wiesbaden,28154,27143,DE113864543,23-04-2025,07-05-2025,adion.ch,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@eco-kart.de,"Mr Andreas Weiland","Eco Kart GMBH","August-schanz-str. 31a",60433,Frankfurt,28155,27144,DE260055024,23-04-2025,07-05-2025,eco-kart.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@recknagel-obernburg.de,"Ms Heike Lebert","Recknagel GMBH","Sa 9",63785,Obernburg,28156,27145,DE228034877,23-04-2025,07-05-2025,recknagel-obernburg.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@chairos.de,"Mr Thomas Hofmann","Chairos Corporate Housing Services GMBH","Approx. From 20",60489,Frankfurt,28157,27146,DE230974823,23-04-2025,07-05-2025,chairos.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@know-how-international.de,"Ms Stefanie Baumann","Know-how International GMBH & Co. KG Promotional Products","Wolfgang-droßbach-straße 9",92242,Hirschau,28158,27147,DE812584582,23-04-2025,07-05-2025,know-how-international.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@bussmann-sassenberg.de,"Bussmann Verwaltung GmbH","Bussmann GMBH & Co. KG","Lappenbrink 29",48336,Sassenberg,28159,27148,DE263894222,23-04-2025,07-05-2025,bussmann-sassenberg.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
emmel.reisen@t-online.de,"Mr Thomas Emmel","Emmel Reisen Thomas Emmel E.k.","Philipp-reis-str. 6",63755,Alzenau,28160,27149,DE229143089,23-04-2025,07-05-2025,emmel-reisen.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@pumpenservice-suess.de,"Mr Florian Martin Suess","Suess GMBH","Maudacher Str. 105",67065,Ludwigshafen,28161,27150,DE221324382,23-04-2025,07-05-2025,pumpenservice-suess.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@haustueren-mueller.de,"Mr Hugo Mueller sen.","Mueller GMBH","Heerstraße 4",74366,Kirchheim,28162,27151,DE297797083,23-04-2025,07-05-2025,haustueren-mueller.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
kontakt@kilian-druck.de,"Mr Walter Kilian","Druckerei Walter Kilian","Sigmundstraße 45c",90431,Nuernberg,28163,27152,DE133451917,23-04-2025,07-05-2025,kilian-web.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@banafair.de,"Dipl.-Psychologe Johannes Augenstein","Banafair E.v.","Langgasse 41",63571,Gelnhausen,28164,27153,DE811509014,23-04-2025,07-05-2025,banafair.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
mb-bauclean@gmx.de,"Ms Manuela Bohn","Mb Bau&clean UG (haftungsbeschraenkt)","Louise-schröder-str. 34",58099,Hagen,28165,27154,DE301106543,23-04-2025,07-05-2025,mb-bauclean.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
katarina.selak@diafood.de,"Mr Fabien Koessler","Diafood GMBH","Seit 35",69121,Heidelberg,28166,27155,DE143456445,23-04-2025,07-05-2025,diafood.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@ag-elektrotechnik.de,"No data fulfill your filter criteria","Argo Elektrotechnik Artur Godonczuk Unternehmergesell. (haftungsbeschraenkt)","Dguv Vorschrift 3",22119,Hamburg,28167,27156,DE248195545,23-04-2025,07-05-2025,ag-elektrotechnik.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@pcp-trading.de,"Mr Kayahan Beypinar","Pcp - Trading GMBH","Elox 630",28307,Bremen,28168,27157,DE249952577,23-04-2025,07-05-2025,pcp-trading.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
reservierung@habw.de,"Mr Dario Muratore","M H G GMBH","Loschwitzer Str. 48",1257,Dresden,28169,27158,DE157987957,23-04-2025,07-05-2025,habw.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@albert-potthoff.de,"Mr Ludger Essing","Albert Potthoff Nachf. Ulrike Potthoff-essing E.k","Moorweg 12",46395,Bocholt,28170,27159,DE256784604,23-04-2025,07-05-2025,albert-potthoff.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@konanz-gmbh.de,"Mr Rolf Manhart","Konanz GMBH","Grabener Straße 11",76149,Karlsruhe,28171,27160,DE147320244,23-04-2025,07-05-2025,konanz-gmbh.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
parkrestaurant@rheinaue.de,"Mr Dirk Doetsch","Restaurant Rheinaue GMBH","Dienstag Bis Freitag Ab 12",53175,Bonn,28172,27161,DE122266556,23-04-2025,07-05-2025,rheinaue.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@dwif.de,"Mr Karsten Heinsohn","Dwif - Consulting GMBH","Sonnenstraße 27",80331,Muenchen,28173,27162,DE226898016,23-04-2025,07-05-2025,dwif.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
augenoptik-hoppe@gmx.de,"Ms Andrea Gaehrken","Hoppe Optik GMBH","Moormannplatz 20",59368,Werne,28174,27163,DE125860449,23-04-2025,07-05-2025,augenoptik-hoppe.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
